symbol,open,high,low,close,date
A,69.73,70.33,69.545,70.05,2018-01-08
AA,53.96,56.15,53.66,55.0,2018-01-08
AAC,9.08,9.16,8.88,8.91,2018-01-08
AAP,112.05,112.29,110.64,111.39,2018-01-08
AB,26.2,26.85,26.1841,26.7,2018-01-08
ABB,27.51,27.65,27.495,27.6,2018-01-08
ABBV,101.28,101.28,98.18,99.49,2018-01-08
ABC,95.11,97.81,94.81,96.9,2018-01-08
ABM,39.02,39.65,38.78,39.55,2018-01-08
ABT,58.85,58.98,58.525,58.82,2018-01-08
ABX,14.88,14.95,14.64,14.74,2018-01-08
AC,33.95,34.15,33.95,34.1,2018-01-08
ACH,18.61,18.61,18.34,18.59,2018-01-08
ACM,38.43,38.45,38.0,38.29,2018-01-08
ACN,157.37,159.01,156.84,158.93,2018-01-08
ACP,14.63,14.65,14.5301,14.58,2018-01-08
ACV,22.32,22.43,22.244,22.42,2018-01-08
ADC,50.51,50.69,50.2,50.53,2018-01-08
ADM,40.08,40.18,39.77,40.09,2018-01-08
ADNT,84.1,84.2,81.92,82.42,2018-01-08
ADS,264.83,264.83,262.17,263.3,2018-01-08
ADX,15.36,15.42,15.35,15.42,2018-01-08
AEE,57.61,58.09,57.28,58.07,2018-01-08
AEG,6.42,6.4467,6.4,6.43,2018-01-08
AEM,46.92,47.25,46.71,47.13,2018-01-08
AEO,18.13,18.29,17.64,17.95,2018-01-08
AEP,70.83,71.53,70.8,71.42,2018-01-08
AER,53.21,53.59,53.07,53.44,2018-01-08
AES,10.9,10.93,10.825,10.87,2018-01-08
AET,185.47,186.36,184.65,184.65,2018-01-08
AEUA,37.88,37.88,36.44,36.98,2018-01-08
AFB,13.42,13.46,13.4,13.44,2018-01-08
AFC,25.47,25.6326,25.43,25.56,2018-01-08
AFG,107.11,107.46,106.3,107.23,2018-01-08
AFL,89.87,90.1,89.7,89.96,2018-01-08
AG,6.94,7.08,6.86,6.92,2018-01-08
AGC,6.12,6.17,6.1,6.13,2018-01-08
AGCO,72.74,73.325,72.06,73.07,2018-01-08
AGI,6.84,6.84,6.54,6.59,2018-01-08
AGM,76.8,77.14,75.0,75.47,2018-01-08
AGN,172.96,173.26,168.325,170.56,2018-01-08
AGO,33.75,33.82,33.21,33.34,2018-01-08
AGR,48.7,49.14,48.55,49.07,2018-01-08
AGRO,10.34,10.36,10.06,10.12,2018-01-08
AGX,45.95,45.95,44.9,45.5,2018-01-08
AHC,4.9,4.95,4.85,4.9,2018-01-08
AHP,9.8,9.9,9.66,9.85,2018-01-08
AHT,6.6,6.67,6.52,6.62,2018-01-08
AI,11.74,11.84,11.66,11.8,2018-01-08
AIG,60.46,60.53,60.141000000000005,60.25,2018-01-08
AIN,62.4,64.35,62.2,63.25,2018-01-08
AIR,38.79,39.3,38.0143,39.18,2018-01-08
AIT,70.3,70.475,69.5,70.0,2018-01-08
AIV,42.61,42.91,42.49,42.89,2018-01-08
AJG,63.41,63.7,63.23,63.55,2018-01-08
AJRD,31.1,32.62,30.93,31.93,2018-01-08
AKOA,27.33,27.33,26.65,26.85,2018-01-08
AKOB,30.33,30.63,29.23,29.64,2018-01-08
AKP,13.58,13.58,13.53,13.565,2018-01-08
AKR,26.8,26.92,26.68,26.88,2018-01-08
AKS,6.66,6.74,6.56,6.63,2018-01-08
AL,48.56,49.52,48.31,49.25,2018-01-08
ALB,134.3,138.67,133.5801,137.45,2018-01-08
ALDW,17.76,18.21,17.76,17.95,2018-01-08
ALE,73.65,74.06,73.0,74.05,2018-01-08
ALEX,27.5,28.035,27.32,28.0,2018-01-08
ALG,110.19,114.5,110.19,113.46,2018-01-08
ALK,73.74,73.74,72.2132,72.75,2018-01-08
ALL,101.84,101.85,101.08,101.39,2018-01-08
ALLE,81.35,81.7,80.92,81.24,2018-01-08
ALV,132.04,132.87,131.56,132.52,2018-01-08
ALX,393.5,393.5,390.11,390.65,2018-01-08
AM,30.68,30.91,30.47,30.83,2018-01-08
AME,73.73,74.34,73.2,74.28,2018-01-08
AMG,199.4,200.97,198.61,200.53,2018-01-08
AMH,20.87,21.03,20.84,20.9,2018-01-08
AMN,49.75,49.9,49.1,49.3,2018-01-08
AMP,170.38,172.27,169.23,172.0,2018-01-08
AMRC,8.75,8.774,8.0,8.0,2018-01-08
AMT,140.66,143.24,140.66,142.01,2018-01-08
AMX,17.36,17.69,17.3,17.64,2018-01-08
AN,55.47,56.87,55.47,56.87,2018-01-08
